jogadores/licenca,jogadores/nome,jogadores/short_name,jogadores/fotografia,jogadores/posicaotatica,jogadores/pais,jogadores/equipa,jogadores/logotipo,jogadores/skoy_id_jogador,jogadores/shirtNumber,jogadores/nomeEquipa,jogadores/idEpoca,jogadores/epoca,jogadores/idClube,jogadores/nomeClube,jogadores/siglaClube,jogadores/idAssociacao,jogadores/associacao,jogadores/dataNascimento,jogadores/genero,jogadores/altura,jogadores/peso,jogadores/foto_acao,jogadores/facebook,jogadores/instagram,jogadores/twitter
262570,Tanner Howard Omlid,Tanner Omlid,https://sav2.fpb.pt/uploads/utilizadores/190497_1662817900.png,EXTREMO,Estados Unidos da América,Sporting Clube de Portugal,https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png,0,11,Sporting CP ,60,2021/2022,169,Sporting Clube de Portugal,SCP,1,Associação de Basquetebol de Lisboa,1993-12-02,M,191,0,https://sav2.fpb.pt/uploads/utilizadores/foto_acao262570_1635189852.jpg,https://www.facebook.com/tanner.omlid,https://www.instagram.com/tanneromlid,https://twitter.com/tanneromlid
255992,Thomas Hugo R. De Thaey,Thomas Thaey,https://sav2.fpb.pt/uploads/utilizadores/183936_1646316121.png,,Bélgica,Imortal Basket Club,https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png,0,,Imortal LUZiGÁS ,60,2021/2022,2932,Imortal Basket Club,IBC,9,Associação de Basquetebol do Algarve ,1991-03-15,M,203,0,,,,
211453,Thomas Silva Sampaio,Thomas Sampaio,https://sav2.fpb.pt/uploads/utilizadores/139537_1666034048.png,,Portugal,Clube Desportivo da Póvoa,https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg,0,20,CD Póvoa ESC Online ,60,2021/2022,118,Clube Desportivo da Póvoa,CDP,4,Associação de Basquetebol do Porto,2003-02-12,M,176,0,,,,
200034,Tiago Alexandre da Rocha Almeida,Tiago Almeida,https://sav2.fpb.pt/uploads/utilizadores/127843_1662647842.png,BASE / EXTREMO,Portugal,Futebol Clube do Porto,https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png,0,12,FC Porto ,60,2021/2022,120,Futebol Clube do Porto,FCP,4,Associação de Basquetebol do Porto,2003-06-12,M,190,0,,,,
191451,Tiago Nogueira Nazário,Tiago Nazário,https://sav2.fpb.pt/uploads/utilizadores/119548_1666686275.png,,Portugal,Illiabum Clube ,https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png,0,4,Illiabum Clube ,60,2021/2022,22,Illiabum Clube ,ILL,3,Associação de Basquetebol de Aveiro,1999-03-06,M,183,0,,,,
129794,Tomás Cabrita dos Santos Nunes Barroso,Tomás Barroso,https://sav2.fpb.pt/uploads/utilizadores/51973_1662745405.png,BASE / EXTREMO,Portugal,Sport Lisboa e Benfica,https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png,0,21,SL Benfica ,60,2021/2022,127,Sport Lisboa e Benfica,SLB,1,Associação de Basquetebol de Lisboa,1990-11-02,M,182,88,,,,
184353,Tomás Martins Dias,Tomás Dias,https://sav2.fpb.pt/uploads/utilizadores/112950_1663241680.png,EXTREMO / POSTE,Portugal,"Clube Amigos do Basquete da Madeira, Basquetebol SAD ",https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg,0,11,CAB Madeira ,60,2021/2022,987,"Clube Amigos do Basquete da Madeira, Basquetebol SAD ",CAB,6,Associação de Basquetebol da Madeira,2001-10-24,M,195,95,,,,
249301,Travante António Williams,Travante Williams,https://sav2.fpb.pt/uploads/utilizadores/177293_1662817934.png,EXTREMO,Portugal,Sporting Clube de Portugal,https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png,0,0,Sporting CP ,60,2021/2022,169,Sporting Clube de Portugal,SCP,1,Associação de Basquetebol de Lisboa,1993-07-29,M,195,91,https://sav2.fpb.pt/uploads/utilizadores/foto_acao249301_1602625603.png,,,
268941,Travis Trayvon Munnings,Travis Munnings,https://sav2.fpb.pt/uploads/utilizadores/218993_1638722475.png,EXTREMO,Bahamas,Sport Lisboa e Benfica,https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png,0,3,SL Benfica ,60,2021/2022,127,Sport Lisboa e Benfica,SLB,1,Associação de Basquetebol de Lisboa,1994-09-14,M,198,95,,,,
268823,Tyere Dashaun Marshall,Tyere Marshall,https://sav2.fpb.pt/uploads/utilizadores/218838_1644659278.png,,Estados Unidos da América,A.D.O. Basquetebol da Associação Desportiva Ovarense,https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png,0,23,Ovarense GAVEX ,60,2021/2022,12,A.D.O. Basquetebol da Associação Desportiva Ovarense,OVA,3,Associação de Basquetebol de Aveiro,1997-06-26,M,205,0,,,,
256177,Tymetrius Montovia Toney,Tymetrius Toney,https://sav2.fpb.pt/uploads/utilizadores/184119_1645470588.png,BASE,Estados Unidos da América,Imortal Basket Club,https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png,0,32,Imortal LUZiGÁS ,60,2021/2022,2932,Imortal Basket Club,IBC,9,Associação de Basquetebol do Algarve ,1994-11-27,M,193,0,,,,
187286,Vladyslav Voytso,Vladyslav Voytso,https://sav2.fpb.pt/uploads/utilizadores/115695_1662647858.png,EXTREMO,Portugal,Futebol Clube do Porto,https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png,0,3,FC Porto ,60,2021/2022,120,Futebol Clube do Porto,FCP,4,Associação de Basquetebol do Porto,1999-07-30,M,200,91,https://sav2.fpb.pt/uploads/utilizadores/foto_acao187286_1595238712.jpg,https://www.facebook.com/vlady.voytso,https://www.instagram.com/vlad_voytso,https://twitter.com/vvoytso
280845,Wendell Lewis,Wendell Lewis,https://sav2.fpb.pt/uploads/utilizadores/232422_1646058397.png,POSTE,Estados Unidos da América,Sport Lisboa e Benfica,https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png,0,30,SL Benfica ,60,2021/2022,127,Sport Lisboa e Benfica,SLB,1,Associação de Basquetebol de Lisboa,1989-09-21,M,208,0,,,,
273584,William Christopher DunstonJr,William DunstonJr,https://sav2.fpb.pt/uploads/utilizadores/224373_1633382029.png,,Estados Unidos da América,Illiabum Clube ,https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png,0,,Illiabum Clube ,60,2021/2022,22,Illiabum Clube ,ILL,3,Associação de Basquetebol de Aveiro,1994-03-26,M,198,0,,,,
272993,Zane Haden Waterman,Zane Waterman,https://sav2.fpb.pt/uploads/utilizadores/223669_1634636125.png,,Estados Unidos da América,União Desportiva Oliveirense,https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png,0,12,UD Oliveirense ,60,2021/2022,28,União Desportiva Oliveirense,UDO,3,Associação de Basquetebol de Aveiro,1995-10-12,M,203,0,,,,
273181,Zarko Jukic,Zarko Jukic,https://sav2.fpb.pt/uploads/utilizadores/223886_1632843332.png,,Dinamarca,Clube Desportivo da Póvoa,https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg,0,15,CD Póvoa ,60,2021/2022,118,Clube Desportivo da Póvoa,CDP,4,Associação de Basquetebol do Porto,1993-07-28,M,202,0,,,,
